preset,elapsed_s,reused,use_rationale,use_svd_init,use_acl,use_ucl,use_global_view,rationale_style,rationale_temperature,fusion_gate_style,num_aspects,cl_weight,fusion_init_bias,HR,Precision,Recall,F1,MAP,NDCG,HR@10,Precision@10,Recall@10,F1@10,MAP@10,NDCG@10
winner,112,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0440,0.1250,0.0623,0.0516,0.0958
winner_sigmoid_rat,54,0,1,1,1,1,1,mlp_sigmoid,0.5,mlp,4,0.005,5.0,0.4508,0.0303,0.1660,0.0496,0.0470,0.1022,0.3204,0.0380,0.1051,0.0533,0.0413,0.0797
winner_no_svd,85,0,1,0,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4906,0.0345,0.1947,0.0567,0.0545,0.1171,0.3514,0.0449,0.1263,0.0632,0.0480,0.0923
winner_fb0,68,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,0.0,0.4961,0.0345,0.1921,0.0567,0.0557,0.1175,0.3448,0.0432,0.1216,0.0610,0.0489,0.0915
winner_scalar_gate,84,0,1,1,1,1,1,mlp_softmax,0.5,scalar,4,0.005,5.0,0.4895,0.0344,0.1940,0.0566,0.0555,0.1184,0.3558,0.0440,0.1248,0.0622,0.0487,0.0929
winner_no_acl,64,0,1,1,0,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.5017,0.0351,0.1957,0.0576,0.0570,0.1200,0.3536,0.0441,0.1245,0.0622,0.0502,0.0938
winner_no_ucl,64,0,1,1,1,0,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4983,0.0352,0.1954,0.0578,0.0563,0.1190,0.3503,0.0440,0.1234,0.0620,0.0492,0.0924
old_full,53,0,1,1,1,1,1,mlp_sigmoid,0.5,mlp,4,0.005,0.0,0.4663,0.0315,0.1738,0.0516,0.0481,0.1052,0.3293,0.0403,0.1126,0.0568,0.0424,0.0827
lightgcn_only,37,0,0,1,0,0,0,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4917,0.0348,0.1937,0.0571,0.0555,0.1179,0.3436,0.0430,0.1201,0.0605,0.0483,0.0908
