item_idx,asin,user_idx,top_kg_aspects,w0,w1,w2,w3,argmax_aspect
1331,1594633665,458,character_complexity|unreliable_narrators|psychological_themes,0.23049011826515198,0.2819992005825043,0.23091547191143036,0.2565951943397522,1
1331,1594633665,112,character_complexity|unreliable_narrators|psychological_themes,0.2273123413324356,0.2840662896633148,0.2314116358757019,0.25720977783203125,1
1331,1594633665,1,character_complexity|unreliable_narrators|psychological_themes,0.2293301671743393,0.28366968035697937,0.2307492345571518,0.2562509775161743,1
785,0553418025,416,science_fiction_genre|survival_stories|realism|space_exploration,0.28489595651626587,0.23944447934627533,0.24083289504051208,0.23482663929462433,0
785,0553418025,580,science_fiction_genre|survival_stories|realism|space_exploration,0.284392774105072,0.23987534642219543,0.2410527914762497,0.23467908799648285,0
785,0553418025,859,science_fiction_genre|survival_stories|realism|space_exploration,0.2868659794330597,0.23974284529685974,0.24056977033615112,0.23282143473625183,0
296,0312641893,89,cyberpunk_genre|cyborg_elements|romance_subplot|future_setting,0.25042107701301575,0.2672007083892822,0.25042107701301575,0.2319570928812027,1
296,0312641893,256,cyberpunk_genre|cyborg_elements|romance_subplot|future_setting,0.25136032700538635,0.2649034261703491,0.25136032700538635,0.23237591981887817,1
296,0312641893,828,cyberpunk_genre|cyborg_elements|romance_subplot|future_setting,0.2501925230026245,0.2680358588695526,0.2501925230026245,0.2315790355205536,1
77,0062024027,249,dystopian_worlds|post_apocalyptic_settings|action_and_suspense,0.28425195813179016,0.2382412850856781,0.23910726606845856,0.23839950561523438,0
77,0062024027,153,dystopian_worlds|post_apocalyptic_settings|action_and_suspense,0.28347522020339966,0.2386408895254135,0.23972539603710175,0.23815849423408508,0
77,0062024027,728,dystopian_worlds|post_apocalyptic_settings|action_and_suspense,0.28420722484588623,0.23722954094409943,0.23974843323230743,0.2388148456811905,0
245,0307887448,467,dystopian_sci_fi|video_games|80s_culture|novels,0.23784194886684418,0.24604566395282745,0.24002434313297272,0.27608805894851685,3
245,0307887448,51,dystopian_sci_fi|video_games|80s_culture|novels,0.23863427340984344,0.24522508680820465,0.24103176593780518,0.27510884404182434,3
245,0307887448,740,dystopian_sci_fi|video_games|80s_culture|novels,0.2378382831811905,0.24775998294353485,0.24203020334243774,0.27237147092819214,3
